patientennummer,anrede,vorname,nachname,strasse,hausnummer,geburtsdatum,usernummer,versicherungsnummer,telefonnummer,email,geschlecht,postleitzahl,ort,land,zusatz,handynummer,postfach,fax
1,Herr,Sigmund,Barkas,Sycamore,1,1910-06-02,9551640917,A103399582,+31-884-301-3806,sbarkas0@wp.com,w,12345,Kornwestheim,Deutschland,,,,
2,Frau,Lurline,Talbot,Service,98175,1922-10-22,8014169727,K245416554,+81-668-804-8426,ltalbot1@reuters.com,w,78945,Ludwigsburg,Deutschland,,,,
12,Frau,Bonny,Adamovitch,Kenwood,2912,1911-05-05,7521936616,A089624456,+51-819-171-6183,badamovitchb@blinklist.com,m,45645,Hamburg,Deutschland,,,,
13,Herr,Sergei,Gaskamp,Bonner,170,1945-03-23,8666385569,T976037231,+7-770-577-5904,sgaskampc@example.com,m,07141,Kornwestheim,Deutschland,,,,
14,Herr,Addi,Divill,Bluestem,4,1919-07-31,8502590217,B727586759,+62-465-651-4995,adivilld@is.gd,m,01595,Berlin,Deutschland,,,,
15,Herr,Almire,Colvine,Oak Valley,6,1915-10-12,7275513539,V750081932,+86-514-140-5929,acolvinee@arizona.edu,m,,,,
46,Frau,Delila,Stidston,Golf View,35286,1944-05-21,7751039829,F638288582,+30-236-727-0204,dstidstonf@nih.gov,w,,,,
77,Herr,Cal,Kerins,Pine View,862,1953-09-20,7672837705,E812081105,+63-682-709-1184,ckerinsg@soundcloud.com,m,,,,
85,Frau,Roxana,Cornock,Moland,148,1913-12-27,9268111232,E713921843,+234-613-825-8316,rcornockh@ow.ly,w,,,,
99,Frau,Jacky,Oldnall,Raven,1,1932-01-17,7492278563,C342544819,+84-200-808-7550,joldnalli@uol.com.br,w,,,,
200,Herr,Jervis,Tolchar,Namekagon,8,1963-02-18,8630748804,S512555060,+263-598-763-9658,jtolcharj@phpbb.com,m,,,,
211,,Chelsey,Knapton,Southridge,0358,1951-05-02,7144550880,D047706602,+86-183-614-4584,cknaptonk@noaa.gov,d,,,,
274,Frau,Karlotta,Cowles,Mesta,3,1950-05-17,9446782943,B668607253,+86-255-731-8068,kcowlesl@cyberchimps.com,w,,,,
378,Herr,Christiano,Lavall,Orin,627,1957-09-12,9217510077,P070728874,+51-878-540-6001,clavallm@icq.com,m,,,,
401,Herr,Kerr,McIlmurray,8th,36909,1944-04-28,7774967966,H445275252,+63-296-528-4520,kmcilmurrayn@ted.com,m,,,,
451,Herr,Alair,Awcoate,Warrior,22839,1913-05-23,7009128581,F473575989,+374-566-418-1911,aawcoateo@instagram.com,m,,,,
645,Herr,Currey,MacGovern,Bonner,0,1921-11-24,8328947942,E960997281,+62-631-181-8913,cmacgovernp@rakuten.co.jp,m,,,,
631,Herr,Arlan,Lambert-Ciorwyn,Dovetail,007,1964-05-24,7555223779,P223416435,+62-528-259-7116,alambertciorwynq@independent.co.uk,m,,,,
689,Herr,Corrie,Burner,Vermont,30128,1923-03-10,7922182204,X382931652,+86-746-794-0402,cburnerr@bloglines.com,m,,,,
